"","CD_GEOCMU","NM_MUNICIP","1","2","order","COD_MUN_TSE","UF","pair","two_states"
"1","3509106","CAIUÁ",-51.986638464214,-21.8014565674484,1,62839,"SP",1,FALSE
"2","3528700","MARABÁ PAULISTA",-52.05658600337,-22.1276976684176,2,66753,"SP",1,FALSE
"3","3535408","PANORAMA",-51.8580652501802,-21.4633073799766,3,68098,"SP",1,FALSE
"4","3541307","PRESIDENTE EPITÁCIO",-52.1749178328947,-21.910657934775,4,69272,"SP",1,FALSE
"5","3541505","PRESIDENTE VENCESLAU",-51.8383380413606,-21.7930133327409,5,69310,"SP",1,FALSE
"25","3511003","CASTILHO",-51.5702518551588,-20.8976104284604,1,63215,"SP",2,TRUE
"51","3536406","PAULICÉIA",-51.7907214887342,-21.198343399199,2,68292,"SP",2,TRUE
"6","3549300","SÃO JOÃO DO PAU D'ALHO",-51.6730442531045,-21.2234497265317,3,70874,"SP",2,TRUE
"7","5008305","TRÊS LAGOAS",-52.2116008569346,-20.4385407520424,4,91650,"MS",2,TRUE
"110","3502101","ANDRADINA",-51.3297177801557,-20.8356001805469,5,61417,"SP",2,TRUE
"31","3523008","ITAPURA",-51.4405680249643,-20.5950743798368,6,65617,"SP",2,TRUE
"41","3533205","NOVA INDEPENDÊNCIA",-51.5052133586504,-21.1352992334062,7,67652,"SP",2,TRUE
"111","3514403","DRACENA",-51.5840485426167,-21.5567119190616,1,63894,"SP",3,FALSE
"32","3534807","OURO VERDE",-51.7378446348646,-21.5104119824272,2,67970,"SP",3,FALSE
"42","3538303","PIQUEROBI",-51.7315668469095,-21.8526679332586,3,68691,"SP",3,FALSE
"52","3541505","PRESIDENTE VENCESLAU",-51.8383380413606,-21.7930133327409,4,69310,"SP",3,FALSE
"61","3543238","RIBEIRÃO DOS ÍNDIOS",-51.5832780079821,-21.784269357711,5,62421,"SP",3,FALSE
"71","3555109","TUPI PAULISTA",-51.5871995320673,-21.3903960834471,6,72036,"SP",3,FALSE
"26","3526001","JUNQUEIRÓPOLIS",-51.4350515846775,-21.4488965920728,7,66214,"SP",3,FALSE
"112","3515301","ESTRELA DO NORTE",-51.6690729886325,-22.4856112379827,1,64076,"SP",4,FALSE
"33","3545506","SANDOVALINA",-51.8421339507591,-22.4778621068292,2,70114,"SP",4,FALSE
"43","3553906","TARABAI",-51.6257785558708,-22.3579748251521,3,71790,"SP",4,FALSE
"27","3539202","PIRAPOZINHO",-51.619799988357,-22.4791833990208,4,68853,"SP",4,FALSE
"113","3515350","EUCLIDES DA CUNHA PAULISTA",-52.5886045747229,-22.5189673727591,1,61000,"SP",5,TRUE
"28","3544251","ROSANA",-52.8369039312103,-22.4891462564597,2,61166,"SP",5,TRUE
"34","3554300","TEODORO SAMPAIO",-52.37403510103,-22.4166069011593,3,71870,"SP",5,TRUE
"44","4118402","PARANAVAÍ",-52.5106195271889,-22.9212589059094,4,77496,"PR",5,TRUE
"53","4127304","TERRA RICA",-52.6816523193053,-22.7294119927871,5,79197,"PR",5,TRUE
"29","3528700","MARABÁ PAULISTA",-52.05658600337,-22.1276976684176,1,66753,"SP",6,FALSE
"114","3509106","CAIUÁ",-51.986638464214,-21.8014565674484,2,62839,"SP",6,FALSE
"35","3530201","MIRANTE DO PARANAPANEMA",-51.9979677734792,-22.3492455092771,3,67059,"SP",6,FALSE
"45","3538303","PIQUEROBI",-51.7315668469095,-21.8526679332586,4,68691,"SP",6,FALSE
"54","3541307","PRESIDENTE EPITÁCIO",-52.1749178328947,-21.910657934775,5,69272,"SP",6,FALSE
"62","3541505","PRESIDENTE VENCESLAU",-51.8383380413606,-21.7930133327409,6,69310,"SP",6,FALSE
"72","3547700","SANTO ANASTÁCIO",-51.722519606295,-22.0376569442316,7,70556,"SP",6,FALSE
"8","3554300","TEODORO SAMPAIO",-52.37403510103,-22.4166069011593,8,71870,"SP",6,FALSE
"210","3530201","MIRANTE DO PARANAPANEMA",-51.9979677734792,-22.3492455092771,1,67059,"SP",7,TRUE
"115","3528700","MARABÁ PAULISTA",-52.05658600337,-22.1276976684176,2,66753,"SP",7,TRUE
"36","3541208","PRESIDENTE BERNARDES",-51.6203419733303,-22.1072727595766,3,69256,"SP",7,TRUE
"46","3545506","SANDOVALINA",-51.8421339507591,-22.4778621068292,4,70114,"SP",7,TRUE
"55","3547700","SANTO ANASTÁCIO",-51.722519606295,-22.0376569442316,5,70556,"SP",7,TRUE
"63","3554300","TEODORO SAMPAIO",-52.37403510103,-22.4166069011593,6,71870,"SP",7,TRUE
"73","4112603","JARDIM OLINDA",-52.0793439584051,-22.5738217201398,7,76457,"PR",7,TRUE
"211","3531605","MONTE CASTELO",-51.5713671792948,-21.2548585963251,1,67334,"SP",8,FALSE
"37","3533106","NOVA GUATAPORANGA",-51.6454474940007,-21.3223635581675,2,67636,"SP",8,FALSE
"56","3549300","SÃO JOÃO DO PAU D'ALHO",-51.6730442531045,-21.2234497265317,3,70874,"SP",8,FALSE
